0.00000	609043695.050604
0.00100	608420934.752102
0.00200	606557494.652195
0.00300	603467833.343624
0.00400	599175834.318286
0.00500	593714487.958249
0.00600	587125454.243952
0.00700	579458513.827785
0.00800	570770917.058328
0.00900	561126642.263934
0.01000	550595576.093385
0.01100	539252629.938608
0.01200	527176807.407389
0.01300	514450238.455486
0.01400	501157196.118122
0.01500	487383111.796948
0.01600	473213604.764490
0.01700	458733540.954206
0.01800	444026135.227868
0.01900	429172110.176158
0.02000	414248923.141515
0.02100	399330071.587738
0.02200	384484485.215433
0.02300	369776011.376073
0.02400	355262998.411939
0.02500	340997979.587272
0.02600	327027458.320180
0.02700	313391793.516739
0.02800	300125181.987751
0.02900	287255733.231403
0.03000	274805630.324392
0.03100	262791369.308347
0.03200	251224068.311224
0.03300	240109836.722557
0.03400	229450194.059659
0.03500	219242527.725379
0.03600	209480578.667626
0.03700	200154944.001453
0.03800	191253585.935709
0.03900	182762336.842522
0.04000	174665390.999358
0.04100	166945774.396215
0.04200	159585785.007733
0.04300	152567397.052230
0.04400	145872623.965883
0.04500	139483836.078791
0.04600	133384030.258535
0.04700	127557050.055251
0.04800	121987756.110657
0.04900	116662147.754650
0.05000	111567437.782664
0.05100	106692083.363798
0.05200	102025776.856366
0.05300	97559400.990656
0.05400	93284953.409133
0.05500	89195445.927025
0.05600	85284784.090650
0.05700	81547632.670149
0.05800	77979272.634665
0.05900	74575454.932047
0.06000	71332256.045420
0.06100	68245939.841567
0.06200	65312829.679242
0.06300	62529194.128736
0.06400	59891148.987738
0.06500	57394577.583507
0.06600	55035070.647844
0.06700	52807886.359103
0.06800	50707930.482568
0.06900	48729755.923564
0.07000	46867580.450953
0.07100	45115320.864276
0.07200	43466641.474916
0.07300	41915014.457022
0.07400	40453789.401217
0.07500	39076269.274369
0.07600	37775789.950273
0.07700	36545800.524781
0.07800	35379941.758375
0.07900	34272120.191003
0.08000	33216575.738199
0.08100	32207940.892874
0.08200	31241290.011494
0.08300	30312177.544142
0.08400	29416664.462359
0.08500	28551332.534342
0.08600	27713286.482189
0.08700	26900144.419490
0.08800	26110017.300061
0.08900	25341478.401750
0.09000	24593524.116224
0.09100	23865527.511764
0.09200	23157186.277913
0.09300	22468466.747185
0.09400	21799545.720110
0.09500	21150751.797757
0.09600	20522507.853890
0.09700	19915276.161993
0.09800	19329507.536263
0.09900	18765595.657189
0.10000	18223837.538865
0.10100	17704400.864415
0.10200	17207298.675761
0.10300	16732371.662209
0.10400	16279278.056238
0.10500	15847490.921414
0.10600	15436302.412521
0.10700	15044834.407007
0.10800	14672054.753929
0.10900	14316798.264831
0.11000	13977791.482387
0.11100	13653680.208156
0.11200	13343058.750081
0.11300	13044499.862296
0.11400	12756584.392160
0.11500	12477929.719175
0.11600	12207216.164007
0.11700	11943210.658791
0.11800	11684787.097947
0.11900	11430942.926764
0.12000	11180811.668408
0.12100	10933671.233886
0.12200	10688947.999421
0.12300	10446216.767469
0.12400	10205196.847711
0.12500	9965744.599566
0.12600	9727842.865839
0.12700	9491587.796148
0.12800	9257173.607861
0.12900	9024875.860978
0.13000	8795033.832118
0.13100	8568032.562402
0.13200	8344285.126140
0.13300	8124215.623739
0.13400	7908243.345597
0.13500	7696768.486530
0.13600	7490159.715380
0.13700	7288743.824776
0.13800	7092797.604483
0.13900	6902542.001171
0.14000	6718138.550319
0.14100	6539687.994746
0.14200	6367230.940818
0.14300	6200750.349374
0.14400	6040175.615016
0.14500	5885387.955409
0.14600	5736226.811871
0.14700	5592496.953838
0.14800	5453975.982166
0.14900	5320421.938916
0.15000	5191580.753123
0.15100	5067193.281595
0.15200	4947001.739664
0.15300	4830755.357037
0.15400	4718215.137054
0.15500	4609157.641699
0.15600	4503377.768268
0.15700	4400690.524857
0.15800	4300931.849687
0.15900	4203958.552331
0.16000	4109647.482459
0.16100	4017894.052930
0.16200	3928610.258671
0.16300	3841722.340636
0.16400	3757168.245322
0.16500	3674895.025327
0.16600	3594856.315731
0.16700	3517010.005535
0.16800	3441316.203877
0.16900	3367735.578270
0.17000	3296228.117769
0.17100	3226752.348863
0.17200	3159265.007031
0.17300	3093721.143384
0.17400	3030074.624419
0.17500	2968278.964544
0.17600	2908288.416223
0.17700	2850059.231830
0.17800	2793551.004875
0.17900	2738727.996267
0.18000	2685560.353616
0.18100	2634025.138030
0.18200	2584107.082988
0.18300	2535799.023229
0.18400	2489101.947415
0.18500	2444024.646051
0.18600	2400582.944862
0.18700	2358798.532907
0.18800	2318697.413212
0.18900	2280308.021061
0.19000	2243659.070533
0.19100	2208777.202829
0.19200	2175684.520012
0.19300	2144396.094522
0.19400	2114917.548082
0.19500	2087242.793296
0.19600	2061352.027322
0.19700	2037210.059784
0.19800	2014765.046752
0.19900	1993947.689633
0.20000	1974670.942672
0.20100	1956830.255962
0.20200	1940304.363111
0.20300	1924956.604540
0.20400	1910636.759510
0.20500	1897183.342980
0.20600	1884426.307820
0.20700	1872190.079362
0.20800	1860296.838077
0.20900	1848569.957777
0.21000	1836837.501342
0.21100	1824935.673743
0.21200	1812712.133102
0.21300	1800029.064595
0.21400	1786765.929092
0.21500	1772821.808134
0.21600	1758117.278952
0.21700	1742595.767242
0.21800	1726224.340888
0.21900	1708993.924264
0.22000	1690918.929571
0.22100	1672036.318443
0.22200	1652404.123173
0.22300	1632099.471932
0.22400	1611216.175854
0.22500	1589861.947418
0.22600	1568155.328898
0.22700	1546222.416528
0.22800	1524193.470286
0.22900	1502199.500778
0.23000	1480368.923602
0.23100	1458824.367924
0.23200	1437679.719921
